Response,B,C,D,F,G,H,J,K,L,M,N,P,Q,R,S,T,V,W,X,Z
B,271,171,197,2,142,15,30,11,3,11,10,75,94,0,2,84,168,4,2,25
C,32,42,19,4,19,7,10,4,0,4,5,35,30,0,2,42,20,1,5,3
D,125,71,138,1,104,4,21,6,3,11,7,34,47,2,0,43,105,4,2,11
F,6,4,4,451,3,55,12,30,25,13,8,2,0,4,336,4,3,4,238,81
G,40,22,47,0,81,2,8,5,0,3,3,18,39,0,3,12,37,2,2,1
H,3,1,13,26,3,707,15,28,7,9,15,6,16,4,43,12,5,14,28,32
J,5,6,3,1,12,8,458,158,9,4,2,8,7,1,2,3,10,8,3,35
K,2,7,6,7,0,15,64,398,16,9,17,6,12,7,7,6,5,10,3,28
L,6,2,3,16,6,9,65,42,683,32,25,4,6,57,38,1,3,32,4,41
M,10,14,5,22,22,9,42,73,83,463,334,2,7,22,21,3,4,17,9,41
N,13,21,20,32,31,40,104,127,51,512,628,6,6,40,38,9,20,28,14,55
P,162,350,201,11,167,21,18,39,2,31,23,490,231,0,5,505,91,2,5,31
Q,43,90,59,0,103,16,12,8,1,3,6,215,507,1,1,90,26,5,2,9
R,3,3,3,14,10,4,17,20,136,43,12,1,9,991,15,4,5,7,9,28
S,2,18,9,488,4,151,38,34,22,23,11,2,9,5,638,7,3,5,391,111
T,143,232,158,14,116,20,11,13,1,12,11,281,175,6,8,331,50,8,5,10
V,122,61,147,1,135,13,15,18,0,8,11,34,35,1,1,22,343,2,0,15
W,31,5,23,9,4,4,5,11,6,8,11,6,3,2,2,2,19,1097,1,91
X,1,6,3,245,1,163,5,12,9,2,1,2,1,2,184,2,1,2,641,56
Z,1,5,3,40,4,21,115,52,6,7,3,3,5,2,9,0,6,6,22,623